item_id,main_image_id,product_type,item_name,brand,color,material,style,pattern,dimensions,weight
B07WL3YXZD,7165NcoU2nL,HOME,"Amazon Brand - Solimo Plastic Hanger, Set of 48",Amazon Brand - Solimo,White,Plastic,Set of 45,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.19685}, 'unit': 'millimeters', 'value': 5}, 'length': {'normalized_value': {'unit': 'inches', 'value': 16.5354}, 'unit': 'millimeters', 'value': 420}, 'width': {'normalized_value': {'unit': 'inches', 'value': 9.0551}, 'unit': 'millimeters', 'value': 230}}",
B08CKRTT15,81MsGrECa9L,SHOES,Bourge Men's Vega-5 Navy Running Shoes-12 UK (46 EU) (13 US) (Vega-5-12),Bourge,Navy,Mesh,Running Shoes,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 4.52755}, 'unit': 'millimeters', 'value': 115}, 'length': {'normalized_value': {'unit': 'inches', 'value': 12.5984}, 'unit': 'millimeters', 'value': 320}, 'width': {'normalized_value': {'unit': 'inches', 'value': 7.0866}, 'unit': 'millimeters', 'value': 180}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.77602716224}, 'unit': 'grams', 'value': 352}]"
B003JFJWT8,81vwMc0I5BL,HOME,"Pinzon Oversized Supima Cotton Wash Cloth, Marine Wash Blue",Pinzon by Amazon,Marine Wash Blue,Supima-Cotton,,,,
B01N6WEDO5,61rxrqkCk6L,SHOES,"The Fix Women's Zavala Structured Bow Ballet Flat, Black, 9 B US",The Fix,Black,,Zavala Ballet Flat With Structured Bow,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.30625}, 'unit': 'ounces', 'value': 4.9}]"
B01N9X5U1W,71PHAR5sRBL,SHOES,"The Fix Amazon Brand Women's Brystal Frayed Cross Strap Slide Dress Sandal, Orange Sun, 8.5 B US",The Fix,Orange Sun,,Brystal Frayed Cross Strap Slide Sandal,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.3125}, 'unit': 'ounces', 'value': 5}]"
B004C046TA,81zdBMbzKDL,TABLE,Strathwood Signature Tavolara Teak Coffee Table,Strathwood by Amazon.com,Distressed Finish,Wood,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 17.75}, 'unit': 'inches', 'value': 17.75}, 'length': {'normalized_value': {'unit': 'inches', 'value': 43.25}, 'unit': 'inches', 'value': 43.25}, 'width': {'normalized_value': {'unit': 'inches', 'value': 23.5}, 'unit': 'inches', 'value': 23.5}}","[{'normalized_value': {'unit': 'pounds', 'value': 31}, 'unit': 'pounds', 'value': 31}]"
B00EQ5FO3I,81tTK9B4ZBL,HOME_BED_AND_BATH,Pinzon Ultrasoft 300 Percale Cotton Duvet Cover Set – Blue – Sky Blue,Pinzon by Amazon,Blau,Baumwolle,dekbedset,uni,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.4409448794}, 'unit': 'centimeters', 'value': 6.2}, 'length': {'normalized_value': {'unit': 'inches', 'value': 78.7401574}, 'unit': 'centimeters', 'value': 200}, 'width': {'normalized_value': {'unit': 'inches', 'value': 78.7401574}, 'unit': 'centimeters', 'value': 200}}",
B07QGWMTDY,71ARtDOE2UL,TABLE,"Amazon Brand – Rivet Fulton Modern Rustic Dining Table, 71""L, Natural",Rivet,Natural,Metal,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 30}, 'unit': 'inches', 'value': 30}, 'length': {'normalized_value': {'unit': 'inches', 'value': 71}, 'unit': 'inches', 'value': 71}, 'width': {'normalized_value': {'unit': 'inches', 'value': 39}, 'unit': 'inches', 'value': 39}}","[{'normalized_value': {'unit': 'pounds', 'value': 90}, 'unit': 'pounds', 'value': 90}]"
B07XGTPDDF,81UlzR558VL,SHOES,Klepe Men's Black Flyknit with Memory Foam Running Shoes-6 UK (40 EU) (7 US) (BX035/BLK),Klepe,BLACK,Mesh,Running Shoes,,,
B081LC75N6,71G6ZeW3noL,PORTABLE_ELECTRONIC_DEVICE_COVER,"Eono MacBook Air 13 Pouces Coque 2019 2018 A1932 avec Retina Display, Coque Rigide& Protection Clavier&Protecteur d'écran Compatible avec MacBook Air 13 Pouces avec Touch ID, Marbre Bleu Noir",Eono,Marbre Bleu Noir,,,,,
B07QBMQQ34,8144zogP1BL,HOME_FURNITURE_AND_DECOR,"Amazon Brand – Ravenna Home Tamarack Rocker Recliner, 34""W, Leather, Dark Roast",Ravenna Home,Dark Roast,Hardwood,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 41}, 'unit': 'inches', 'value': 41}, 'length': {'normalized_value': {'unit': 'inches', 'value': 40}, 'unit': 'inches', 'value': 40}, 'width': {'normalized_value': {'unit': 'inches', 'value': 34}, 'unit': 'inches', 'value': 34}}","[{'normalized_value': {'unit': 'pounds', 'value': 105}, 'unit': 'pounds', 'value': 105}]"
B0748RH9L3,71vD9mdIxyL,SHOES,"Amazon Brand - 206 Collective Men's Union Shearling Slide Slipper Shoe, black, 9 D US",206 Collective,Black Suede,,Union Slide Slipper,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.724375}, 'unit': 'ounces', 'value': 11.59}]"
B08C2XWMD3,51KDO7jfWwL,HOME_ORGANIZERS_AND_STORAGE,(Renewed) Amazon Brand - Solimo U Steel Drying Rack,Amazon Brand - Solimo,Blue,Steel,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.3622}, 'unit': 'millimeters', 'value': 60}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.811}, 'unit': 'millimeters', 'value': 300}, 'width': {'normalized_value': {'unit': 'inches', 'value': 11.811}, 'unit': 'millimeters', 'value': 300}}",
B001BXBILA,81GRkQBws4S,BOTTLE_OPENER,Pinzon Blue Wine Opener with Foil Cutter and Corkscrew,Pinzon by Amazon,Blue,Plastic,,,,
B0824FH9GS,417UUlMThJL,LAMP,"Amazon Brand – Ravenna Home Contemporary Metal Table Lamp with Mercury Glass Accent, LED Bulb Included, 28.5""H, Dark Bronze",Ravenna Home,Dark Bronze,Metal,Table,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 28.5}, 'unit': 'inches', 'value': 28.5}, 'length': {'normalized_value': {'unit': 'inches', 'value': 10}, 'unit': 'inches', 'value': 10}, 'width': {'normalized_value': {'unit': 'inches', 'value': 11}, 'unit': 'inches', 'value': 11}}","[{'normalized_value': {'unit': 'pounds', 'value': 2}, 'unit': 'pounds', 'value': 2}]"
B01FJECR34,41kYI-reG3L,PORTABLE_AUDIO,AmazonBasics Micro Bluetooth Speaker (Black) and 3.5mm Male to Male Stereo Audio Cable (2 Feet) Set,AmazonBasics,Black,,Speaker and 3.5mm Audio Cable,,,
B072Y5MZQH,71mmyV3ig7L,CHAIR,"AmazonBasics Classic Leather Office Desk Guest Chair with Metal Frame, Black",AmazonBasics,Black,Bonded Leather and metal frame,Guest Chair,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 35.8}, 'unit': 'inches', 'value': 35.8}, 'length': {'normalized_value': {'unit': 'inches', 'value': 27.4}, 'unit': 'inches', 'value': 27.4}, 'width': {'normalized_value': {'unit': 'inches', 'value': 23.6}, 'unit': 'inches', 'value': 23.6}}","[{'normalized_value': {'unit': 'pounds', 'value': 24.69}, 'unit': 'pounds', 'value': 24.69}]"
B071GFDGZ9,818aS3B8iNL,SHOES,"find. Amazon Brand Men’s Derby Shoes with Toe Cap, Grey, US 13",find.,Grey,,Um1458,,,
B07VGPT5P8,81S94LissRL,SHOES,"Amazon Essentials Men's Slumber Slipper, Tan, 13 M US - Amazon Vine",Amazon Essentials,Tan,,Slumber,,,
B075YLXVL5,81-GukQYW0L,BOTTLE_RACK,"Amazon Brand – Stone & Beam Modern Wall Mounted Bottle Rack with Wine Glass Storage- 24 x 5 x 7.75 Inch, Rustic Wood",Stone & Beam,Natural,stone,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 5}, 'unit': 'inches', 'value': 5}, 'length': {'normalized_value': {'unit': 'inches', 'value': 24}, 'unit': 'inches', 'value': 24}, 'width': {'normalized_value': {'unit': 'inches', 'value': 7.75}, 'unit': 'inches', 'value': 7.75}}","[{'normalized_value': {'unit': 'pounds', 'value': 3.42}, 'unit': 'pounds', 'value': 3.42}]"
B07R79Y9TS,61ss3FD+X+L,SHOES,"Amazon Brand - find. Chunky Leather Boat Shoe Blue, US 13",find.,Blue Navy Suede,,Chunky Leather Boat Shoe,,,
B0793FCB7J,81Fo6DKqk9L,SHOES,"Simple Joys by Carter's Chaussure de Sport Unisexe. Fashion-Sneakers, Rose, 11 Little Kid",Simple Joys by Carter's,Rose,,Chaussure de sport unisexe.,,,
B07PHRTPT5,61zXBBfpBVL,TECHNICAL_SPORT_SHOE,"Amazon Brand - 206 Collective Women's Hannah, Blush Suede, 8.5 M US",206 Collective,Blush Suede,,Hannah,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.7}, 'unit': 'ounces', 'value': 11.2}]"
B074XXSSCV,81QpXu1OCbL,FOOD_STORAGE_BAG,"365 Everyday Value, Double Zipper Storage Bags, Quart Size, 50 ct",365 by Whole Foods Market,,Polyvinyl Chloride,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 3.05}, 'unit': 'inches', 'value': 3.05}, 'length': {'normalized_value': {'unit': 'inches', 'value': 7.95}, 'unit': 'inches', 'value': 7.95}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.35}, 'unit': 'inches', 'value': 3.35}}",
B07QGW2CDS,81rtc0GdSRL,SHOES,Amazon Brand - Symbol Men's Tan Leather Formal Shoes - 10 UK (AZ-KY-315B),Amazon Brand - Symbol,Tan,Synthetic,Derby,Solid,,
B07YFFZRGR,81gPV-dC2iL,SHOES,"Concept 3 by Skechers Igler Zapatillas de Lona para Hombre, Caqui, 10.5",Concept 3 by Skechers,Caqui,,Igler - Zapatillas de lona,,,
B07V6N6F9Z,910B5G6oTYL,STORAGE_BAG,"Eono Amazon Brand Large Foldable Laundry Baskets, Foldable Laundry Bags, Clothes Bag, x-large",Eono,2 Stück/Blau,Stoff,,,,
B076PYLZQX,A10hSrURNlL,MEDIA_STORAGE,Amazon Basics CD/DVD Wallet - 128 Capacity (Black) 4pack,Amazon Basics,,"remium synthetic leather , microfiber interior and hard PC case",,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 12.4}, 'unit': 'inches', 'value': 12.4}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.75}, 'unit': 'inches', 'value': 11.75}, 'width': {'normalized_value': {'unit': 'inches', 'value': 11}, 'unit': 'inches', 'value': 11}}","[{'normalized_value': {'unit': 'pounds', 'value': 6.8}, 'unit': 'pounds', 'value': 6.8}]"
B01NATWO42,91jqW-bT59L,SHOES,"RED WAGON Boys' Budapester Shoes, Black (Black), 30.5 UK 12",RED WAGON,zwart zwart,,Slipper,,,
B0727RK4B8,81CCBDZGImL,JEWELRY_SET,"suta-ringusiruba-nottoiyaringu and Pendant Box (1/10 cttw) , whites",Amazon Collection(アマゾンコレクション),ホワイト,Not applicable,,,,
B001BQ8J2S,61L8cLxPBjS,TABLE,Pinzon Capitola Center Glass Dining Table,Pinzon by Amazon,Cosmo,glass,,,,"[{'normalized_value': {'unit': 'pounds', 'value': 120}, 'unit': 'pounds', 'value': 120}]"
B00EQ5GHH0,81k1q72oxgL,HOME_BED_AND_BATH,"Pinzon Ultrasoft 300 Percale Cotton Fitted Sheet, Sky Blue",Pinzon by Amazon,Béžová,Cotton,Fitted Sheet,Plain-Coloured,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.835}, 'unit': 'inches', 'value': 2.835}, 'length': {'normalized_value': {'unit': 'inches', 'value': 78.74}, 'unit': 'inches', 'value': 78.74}, 'width': {'normalized_value': {'unit': 'inches', 'value': 72.05}, 'unit': 'inches', 'value': 72.05}}","[{'normalized_value': {'unit': 'pounds', 'value': 1.85}, 'unit': 'pounds', 'value': 1.85}]"
B071GC11HX,71Hrzz8aZVL,SHOES,"Amazon Brand - find. Women?s Ankle Strap Sandals with Stiletto Heel and Buckle, Gold, US 6",find.,Gold,,120181,,,
B07MNL95KM,81qpxha3iAL,HOME_BED_AND_BATH,"AmazonBasics - Set copripiumino per bambini, in microfibra, motivo: automobili- 135 x 200 cm + 80 x 80 cm",AmazonBasics,Cars,Microfibra,Cars,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.38}, 'unit': 'inches', 'value': 1.38}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.21}, 'unit': 'inches', 'value': 11.21}, 'width': {'normalized_value': {'unit': 'inches', 'value': 9.24}, 'unit': 'inches', 'value': 9.24}}",
B07WTN5BNF,91nLRvhXc9L,HANDBAG,Flavia Women's Handbag (Black),Flavia,Black,Faux Leather,Handbag,,,
B07W81PFCV,71prDqUWSIL,JEWELRY_STORAGE,"AmazonBasics Wooden Jewelry/Watch Box with Glass Top - 2-Drawer, Black",AmazonBasics,Black,,2-Drawer,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 5.25}, 'unit': 'inches', 'value': 5.25}, 'length': {'normalized_value': {'unit': 'inches', 'value': 14.87}, 'unit': 'inches', 'value': 14.87}, 'width': {'normalized_value': {'unit': 'inches', 'value': 8.87}, 'unit': 'inches', 'value': 8.87}}",
B0794VBBJK,A12jSrMTNrL,HOME_FURNITURE_AND_DECOR,Rivet Elevated Chevron Patterned Area Rug,Rivet,Grey,,,,,
B076QFBFS5,81fQIg3puaL,PORTABLE_STOVE,"Amazon Brand - Solimo Voyager Rucksack (43 litres, Midnight Blue & Grey)",Amazon Brand - Solimo,Midnight Blue & Grey,Polyester,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 6.2992}, 'unit': 'millimeters', 'value': 160}, 'length': {'normalized_value': {'unit': 'inches', 'value': 17.7165}, 'unit': 'millimeters', 'value': 450}, 'width': {'normalized_value': {'unit': 'inches', 'value': 12.5984}, 'unit': 'millimeters', 'value': 320}}",
B07MXY3SFN,71J0-8MhCyL,SHOES,"206 Collective Amazon Brand Women's Tracy, Black Wool, 8.5 M US",206 Collective,Black Wool,,Tracy,,,
B07FY38FW1,71vA-ExqmTL,KITCHEN,"Amazon Brand - Solimo Oil Pourer (700ml), White",Amazon Brand - Solimo,White,Plastic,Oil Pourer (White),,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.1873929227}, 'unit': 'grams', 'value': 85}]"
B01MTEI8M6,714CmIfKIYL,SHOES,"The Fix Amazon Brand Women's French Floral Embroidery Slide Slip-on Loafer, Havana Tan, 6.5 B US",The Fix,Havana Tan,,French Loafer Slide,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.41875}, 'unit': 'ounces', 'value': 6.7}]"
B07S6H4BK4,71To2OzexUL,BAKING_CUP,"AmazonBasics Tasses de cuisson réutilisables en silicone (renouveau) Lot de 24 5.5 x 2.8 x 3.4 pink, orange, yellow, green, blue, and purple",AmazonBasics,"Pink, Orange, Yellow, Green, Blue, And Purple",Silicone,Lot de 24,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 3.35}, 'unit': 'inches', 'value': 3.35}, 'length': {'normalized_value': {'unit': 'inches', 'value': 5.5}, 'unit': 'inches', 'value': 5.5}, 'width': {'normalized_value': {'unit': 'inches', 'value': 2.76}, 'unit': 'inches', 'value': 2.76}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.56}, 'unit': 'pounds', 'value': 0.56}]"
B07KNL538Z,7153EnEmLwL,HOME,UMI Essentials Set of 2 Curtains with Ruffle Tape,UMI,koyu gri,Stoff,,,,
B081Q7PN6G,81cMSOWYSRL,HOME,"AmazonBasics Collapsible Lightweight Shopping Cart, 40 inch Handle Height, Black",AmazonBasics,Black,,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 41}, 'unit': 'inches', 'value': 41}, 'length': {'normalized_value': {'unit': 'inches', 'value': 15}, 'unit': 'inches', 'value': 15}, 'width': {'normalized_value': {'unit': 'inches', 'value': 12.6}, 'unit': 'inches', 'value': 12.6}}","[{'normalized_value': {'unit': 'pounds', 'value': 4.8}, 'unit': 'pounds', 'value': 4.8}]"
B005T5ZSY4,81emuAtnetL,CHAIR,"Strathwood Redonda Hardwood Rocking Chair, Dark Brown",Strathwood by Amazon.com,Brown,Wood,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 45}, 'unit': 'inches', 'value': 45}, 'length': {'normalized_value': {'unit': 'inches', 'value': 35}, 'unit': 'inches', 'value': 35}, 'width': {'normalized_value': {'unit': 'inches', 'value': 24}, 'unit': 'inches', 'value': 24}}","[{'normalized_value': {'unit': 'pounds', 'value': 35.3}, 'unit': 'pounds', 'value': 35.3}]"
B07Y8XBG1C,41Gry1q9BdL,CHAIR,"AmazonBasics Gaming Office Chair, Racing Design, PU leather, White + Philips Hue Play White double pack Bundle",AmazonBasics,White / Black,Faux Leather,Office Chair + Hue Play,Patchwork,,
B072MTSFQM,81lrkOJU5yL,SHOES,"Amazon-merk - vinden. Dames Blok Hak Knie Hoge Laarzen,Zwart,6 UK",find.,Zwart,,Knie-hoge laarzen,,,
B07QDS9J73,612Tj+d+c2L,SHOES,"Amazon Essentials Shelly Sneaker, White, 6.5 M US",Amazon Essentials,White,,Shelly,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.4625}, 'unit': 'ounces', 'value': 7.4}]"
B07P5DRWSL,A18yL509IBL,SWATCH,"Stone & Beam Benavento Dove Swatch, Stone & Beam 25020100",Stone & Beam,Benavento Dove,,,,,
B0812C77RN,71rgH3pclkL,SHOES,"vinden. Amz038_leer, Dekschoenen voor heren,Bruine Kameel,5 UK",find.,Bruine Kameel,,Zeilschoenen,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.86875}, 'unit': 'ounces', 'value': 13.9}]"
B07WRJG268,818KcnV-AdL,HANDBAG,Flavia Women's Handbag (Camel),Flavia,Camel,Faux Leather,Handbag,,,
B07DJJ8TH1,71xkB2drGsL,SHOES,Amazon Brand - Symbol Men's White 1 PU Sneakers-8 UK/India (42 EU) (AZ-YS-174A),Amazon Brand - Symbol,White 1,PU,low-top,Solid,,
B07TM6JW3Y,7128weAuW0L,COMPUTER_DRIVE_OR_STORAGE,AmazonBasics - Custodia per hard disk USB 3.0 SATA Cruz V2 Fresh Foam 3.5-inches,AmazonBasics,Cruz V2 Fresh Foam,,Confezione da 5,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.02}, 'unit': 'inches', 'value': 1.02}, 'length': {'normalized_value': {'unit': 'inches', 'value': 6.4}, 'unit': 'inches', 'value': 6.4}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.48}, 'unit': 'inches', 'value': 3.48}}","[{'normalized_value': {'unit': 'pounds', 'value': 1.03}, 'unit': 'pounds', 'value': 1.03}]"
B082B9QJJN,61EFutABA0L,HOME,"Amazon Basics - Tabla de Planchar (tamaño Completo, 4 Patas Plegables, Funda extraíble, Striped, 1",Amazon Basics,Striped,,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 37.6}, 'unit': 'inches', 'value': 37.6}, 'length': {'normalized_value': {'unit': 'inches', 'value': 60.2}, 'unit': 'inches', 'value': 60.2}, 'width': {'normalized_value': {'unit': 'inches', 'value': 14.18}, 'unit': 'inches', 'value': 14.18}}","[{'normalized_value': {'unit': 'pounds', 'value': 9.6}, 'unit': 'pounds', 'value': 9.6}]"
B07WJ71B2N,711qpmzn+SL,SHOES,Amazon Brand - Symbol Men's Brown PU Formal Shoes - 10 UK (AZ-SY-436),Amazon Brand - Symbol,Brown,Synthetic,Derby,Textured,,
B0847WY2WS,616TlLZy5OL,SHOES,Flavia Women's Beige Ballet Flats-5 UK (37 EU) (6 US) (FK/WQ0011/BGE),Flavia,Beige,,Ballet Flats,,,
B00EQ5HKNU,912NCCQk49L,HOME_BED_AND_BATH,"Pinzon by Amazon Ultrasoft Spannbetttuch, Perkal, 160 x 200 x 20 cm - Bijou Blau",Pinzon by Amazon,Blu Bijou,Cotone,Fitted Sheet,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 10.99999998878}, 'unit': 'centimeters', 'value': 27.94}, 'length': {'normalized_value': {'unit': 'inches', 'value': 78.7401574}, 'unit': 'centimeters', 'value': 200}, 'width': {'normalized_value': {'unit': 'inches', 'value': 62.99212592}, 'unit': 'centimeters', 'value': 160}}",
B00MHV01AY,A11iXjPIJxL,HOME_BED_AND_BATH,"Pinzon Heather Jersey Fitted Sheet, Light Gri Eflatun, jarse, açık gri alacalı, 160x200x30",Pinzon by Amazon,açık gri alacalı,jarse,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 62.99212592}, 'unit': 'centimeters', 'value': 160}, 'length': {'normalized_value': {'unit': 'inches', 'value': 78.7401574}, 'unit': 'centimeters', 'value': 200}, 'width': {'normalized_value': {'unit': 'inches', 'value': 0.79133858187}, 'unit': 'centimeters', 'value': 2.01}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.7936641432}, 'unit': 'kilograms', 'value': 0.36}]"
B07JP6G4DZ,81Op+KdY7dL,HOME_BED_AND_BATH,"AmazonBasics by Marvel Spiderman Spidey Crawl Bed Sheet Set, Twin",AmazonBasics,Spiderman,100% Polyester,Sheet Set,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.1}, 'unit': 'inches', 'value': 0.1}, 'length': {'normalized_value': {'unit': 'inches', 'value': 96}, 'unit': 'inches', 'value': 96}, 'width': {'normalized_value': {'unit': 'inches', 'value': 66}, 'unit': 'inches', 'value': 66}}","[{'normalized_value': {'unit': 'pounds', 'value': 1.75}, 'unit': 'pounds', 'value': 1.75}]"
B084W2S62H,81zy2pE92iL,CHAIR,"Amazon Brand – Stone & Beam Linden Classic Upholstered Dining Chair, 18.9""W, Set of 2, Marine Blue",Stone & Beam,Marine Blue,,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 34.3}, 'unit': 'inches', 'value': 34.3}, 'length': {'normalized_value': {'unit': 'inches', 'value': 18.9}, 'unit': 'inches', 'value': 18.9}, 'width': {'normalized_value': {'unit': 'inches', 'value': 24.4}, 'unit': 'inches', 'value': 24.4}}","[{'normalized_value': {'unit': 'pounds', 'value': 16.31}, 'unit': 'pounds', 'value': 16.31}]"
B075X65QYF,91uZBJObIBL,HOME_FURNITURE_AND_DECOR,"Amazon Brand – Stone & Beam Leila Tufted Chair, 44"" W, Pewter",Stone & Beam,Pewter,pewter,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 31}, 'unit': 'inches', 'value': 31}, 'length': {'normalized_value': {'unit': 'inches', 'value': 36}, 'unit': 'inches', 'value': 36}, 'width': {'normalized_value': {'unit': 'inches', 'value': 44}, 'unit': 'inches', 'value': 44}}","[{'normalized_value': {'unit': 'pounds', 'value': 98}, 'unit': 'pounds', 'value': 98}]"
B0746MR6Y8,71sWHaVfr+L,SHOES,"Amazon Brand - 206 Collective Women's Pearson Shearling Moccasin Slipper, Red Plaid Textile, 5 B US",206 Collective,Red Plaid Textile,,Pearson Moccasin Slipper,,,
